,artist,title,words
11,Cinderella,Freewheelin',"You say I get around but
I'm gonna hit the ground
I don't hear a word you're sayin'
Going out of my head and
The world's turnin' red
Don't think I'll be stayin'
You got your fancy pants now
Wear 'em to the dance
All I got is what I'm playin'
But the trouble with you is there ain't just a few
Don't take the ride unless you're payin'

Like a hot burnin' fire
Blazin' out of control
I couldn't get much higher, I'm

Freewheelin
Nothin' gets in my way
When I'm freewheelin
I'm free yea

Take a look around cause it's all fallin' down
Fallin' from the dream that we created
I'm lookin' up at the sky and I'm wondering why
Why it's all deflated
You got a million and one ways to have fun
Everything I've done is over-rated
So take a step back cause I don't need the flack
I can see your promises a fadin'

Like a hot burnin' fire
Blazin' out of control
I couldn't get much higher, I'm

Freewheelin
Nothin' gets in my way
When I'm freewheelin
I'm free yea

Like a hot burnin' fire
Blazin' out of control
I couldn't get much higher, I'm

Freewheelin
Nothin' gets in my way
When I'm freewheelin
I'm free yea

Freewheelin
Nothing get in my way
When I'm freewheelin
I'm free yea

Freewheelin
When I'm freewheelin
I'm free yea"
12,Cinderella,Gypsy Road ,"I used to be now I'm not what you see, lord I try
And now it seems all those dreams have come true, but they're passing me by
Some fast talkin' mama for a dollar put a smile on my face
I'm drivin' all night
I end up in the same old place

My gypsy road can't take me home
I drive all night just to see the light
My gypsy road can't take me home
I keep on pushing 'cause it feels alright

And who's to care if I grow my hair to the sky
I'll take a wish and a prayer, cross my fingers 'cause I always get by
Fast talkin' jerk for a dollar wiped the smile off my face
I'm drivin all night
Just to keep the rat in the race

My gypsy road can't take me home
I drive all night just to see the light
My gypsy road can't take me home
I keep on pushing 'cause it feels alright

Sometimes I feel so old
Got my lights burnin' bright
But I'm lookin' pretty sold
Sometimes I feel so cold (so cold)
So cold
Let's go

Gotta get on home
My gypsy road can't take me home
My gypsy road can't take me home, take me

My gypsy road can't take me home
I drive all night just to see the light
My gypsy road can't take me home
I keep on pushing 'cause it feels alright

My gypsy road can't take me home
I drive all night just to see the light
My gypsy road can't take me home
I keep on pushing
My gypsy road
My gypsy road
My gypsy road
My gypsy road
My gypsy road can't take me home"
13,Cinderella,Hard to Find the Words,"Mama sometimes I feel inside
There's nothing I can say
Nothing I can do
Could ever match the love you gave
You taught me how to live
Told me walk before you run
And you were always there to pick me up
Everytime I'd have a fall

And mama I know there's been times
When I didn't always understrand
By and by we do some growing up
And it makes just a little more sense
But sometimes it's hard to find the words
But I'll do the best that I can
Thank you for the love mama
It's what made this boy a man

I know the road's been long
And I know you've seen some rain
Making the best of what we had
I never heard you complain
When I look in the mirror today
Wondering could I be as strong
Could I give as much to someone else
As you gave to your son

And mama I know there's been times
When we didn't see eye to eye
By and by we do some growing up
And we understand the reasons why
But sometimes it's hard to find the words
But I'll do the best I can
Thank you for the love mama
It's what made this boy a man, yea

Many years have gone by
And I've been living them the best I can

And mama I know there's been times
When I didn't always understand
By and by we do some growing up
And it makes just a little more sense
But sometimes it's hard to find the words
But I'll do the best I can
Thank you for the love mama
It's what made this boy a man, yea"
14,Cinderella,Heartbreak Station,"Waiting at the station
Tears filling up my eyes
Sometimes the pain you hide
Burns like a fire inside
Look out my window
Sometimes it's hard to see
The things you want in life
Come and go so easily

She took the last train out of my heart oh, oh
She took the last train
And now I think I'll make a brand new start
She took the last train out of my heart

Watching the days go by
Thinking 'bout the plans we made
The days turn into years
Funny how they fade away
Sometimes I think of those days
Sometimes I just hide away
Waiting on that 9:20 train
Waiting on a memory

She took the last train out of my heart oh, oh
She took the last train
And now I think I'll make a brand new start
She took the last train out of my heart

My lady's on the fly and she's never coming back
My love is like a steam train rolling down the tracks yea, yea

She took the last train out of my heart oh oh
She took the last train
And now I think I'll make a brand new start
She took the last train out of my heart

She took the last train oh, out of my heart
She took the last train
And now I think I'll make a new start
Last train out of my heart"
15,Cinderella,Hell on Wheels,"We hang tough
When the chips are low
Can't buy enough
So we steal the show
We get so hot
We can't cool down
So the hell with that
We're rippin' through your town

We've had enough of the raw deals
Hit the road and tell ya how it feels

Like hell on wheels
Like hell on wheels
Like hell on wheels
Like hell on wheels

We live fast
But we love it so
Can't see the past
But it's gone we know
We get so hot
We can't cool down
So the hell with that
We're burnin' through your town

We've had enough of the raw deals
Hit the road and tell ya how it feels

Like hell on wheels
Like hell on wheels
Like hell on wheels
Like hell on wheels
Run like hell

Hell on wheels
Like hell on wheels
Like hell on wheels
Like hell on wheels
Like hell on wheels
Like hell on wheels
Like hell on wheels
Like hell on wheels"
16,Cinderella,Hot and Bothered,"You got me jumpin' right out of my skin
You keep it up and I'll be comin' on in
You start a feelin' you're the cream of the crop
You gonna break my heart or just make it stop
You told me that you'd always love me true
But then I heard you told another guy too
Take a cold shower but the water boils hot
The way you twist and shake it girl
You tie me in a knot
And get me hot

Ooo hot and bothered
So hot and bothered
You get me
Hot and bothered
Come on now

Now listen
I pick you up at eight by ten we do the town
Empty my pockets just a tryin' to get you down
Throw in the towel I think your games are such a bore
Just when I think I've lost you pull me to the floor
And get me hot

Ooo hot and bothered
So hot and bothered
You get me
Hot and bothered
So hot and bothered

Ooo you get me hot
Hot and bothered
So hot and bothered
Baby baby baby get me hot

Ooo hot and bothered
So hot and bothered You get me
Hot and bothered
Hot and bothered
So hot and bothered
You get me
Hot and bothered
Hot and bothered
So hot and bothered
Hot and bothered
You get me
Hot and bothered
So hot and bothered
Ooo hot and bothered
Hot and bothered"
17,Cinderella,If You Don't Like It,"I don't need anyone
To tell me how to run my life
Got along alright so far
I don't really think I need to hear your advice
I've got my mind made up know what I want to do
I'll do it anyway I choose
So just sit back shut up for a minute let me show you what I'm gonna do

I ain't got no time to waste on you
You ain't got no time to give
Too hung up on all you did

If you don't like it
If you don't like it I don't care
If you don't like it
Hit the road cause I just don't care
If you don't like it
If you don't like it I don't care
If you don't like it
Hit the road cause I just-just-just don't care

I've seen em come and go
The kind that do it all for the show
They got their walkin' talkin' built in jive
I don't really think they're workin' nine to five
Take it to your heart gonna tell ya from the start
Gonna send a word or two your way
So just sit back take a ride on your pony
It'll all come back to you one day

I ain't got no time to waste on you
You ain't got no time to give
Too hung up on all you did

If you don't like it
If you don't like it I don't care
If you don't like it
Hit the road cause I just don't care
If you don't like it
If you don't like it I don't care
If you don't like it
Hit the road cause I just-just-just don't care

If you don't like it
If you don't like it I don't care
If you don't like it
Hit the road cause I just don't care
If you don't like it
If you don't like it I don't care
If you don't like it
Hit the road cause I just don't care

If you don't like it
If you don't like it I don't care
If you don't like it
Hit the road cause I just-just-just don't care
If you don't like it
If you don't like it I don't care
If you don't like it
Hit the road cause I just don't care"
18,Cinderella,In from the Outside,"I've been loved and I've been shoved
beaten every step of the way
lived by the glass
and got a little ass
three or four times a day

Well, I've seen blood like Noah's flood
I think its gonna take us away
Tellin' you should listen real good
Hells come back to stay

Well you can't take it with you
Its a one way ride
Baby's had enough of lookin'

In from the outside
In from the outside

Feelin' down low, time to let go
you're only as good as you please
Walk before you crawl, make the last call
You need it like a social disease

Well you can't take it with you
Its a one way ride
Baby's had enough of lookin'

In from the outside
In from the outside
In from the outside

I've been loved and I've been shoved
Beaten every step of the way
Lived by the glass
And got a little ass
Three or four times a day

Well you can't take it with you
Its a one way ride
Baby's had enough of lookin'

In from the outside
In from the outside
In from the outside"
19,Cinderella,Long Cold Winter,"I've been down
I've been cryin' in the dead of night
I've been tryin', i've been tryin'
To find the time to make it right
It's gonna be a long cold winter
Long cold winter without your love

I've been walkin'
I've been freezin'
Freezin' from a love i left behind
I've been searchin', i've been searchin'
Can't find my peace of mind
It's gonna be a long cold winter
Long cold winter without your love

I've been down ooo, i've been down yea
Baby baby baby ooo i'm freezin'
I'm freezin', i'm freezin', i'm cold
So so so cold
It's gonna be a long cold winter
Long cold winter without your love yea"
20,Cinderella,Love Gone Bad,"If I hear you stalkin'
Looking for sympathy
You just keep on walkin'
Actin' like you don't know me
Ain't nothin' new for you
Honey what you put me through
Seven years ago today
There ain't no other way

Once bitten now two cents shy
Almost the apple of your daddy's eye

But your love
Your love's gone bad
Yea, yea, yea
Your love
Your love's gone bad

If I hear you talkin'
Gettin' in my ear
Listen to the words I say
Let me make this very clear
Don't ask for money
Don't you think my name
Everything was sunny
Dream about it ain't the same

Once bitten now two cents shy
Almost the apple of your daddy's eye

But your love
Your love's gone bad
Yea, yea, yea
Your love
Your love's gone bad

Once bitten now two cents shy
Almost the apple of your daddy's eye

But your love
Your love's gone bad
Yea, yea, yea
Your love
Your love's gone bad your love
Your love's gone bad
Yea, yea, yea
Your love's gone bad

Your love's gone bad
Your love's gone bad
So bad"
21,Cinderella,Make Your Own Way,"Born and raised in a one dog town
That never took a chance or a dare
The times kept a changin' but it all passed 'em by
The prejudices in the air
Drove me to cocaine eyes by the age of one five
Kept my momma walking the floor
But I had to draw the line for the very last time
She kicked my ass out the door

It ain't always easy when you're living hand to mouth
The more you put in, the less you get out
It ain't always easy when you're living day to day
It ain't always easy when you're tryin' to make your own way

Make your own way
When life's a little hard on you
Make your own way
Nobody's gonna die for you

I remember rollin' dice on the run
Looking for a winning hand
We never stop to wonder at the wonders passing by
Just searchin' for the promised land
We met a mean old man
Who dealt a dirty hand
Promised we could touch the sky
But the devil's his friend
He put the pen in my hand
Said you can pay me back after you die

It ain't always easy when you're living hand to mouth
The more you put in, the less you get out
It ain't always easy when you're living day to day
It ain't always easy when you're tryin' to make your own way

Make your own way
When life's a little hard on you
Make your own way
Nobody's gonna die for you

Ah, ah, ah sometimes you gotta walk the straight line
Ah, ah, ah feel like I'm just doing time

Ooo, when life gets a little hard
You gotta gotta ooo make your own way
Sometimes you gotta make your own way
Here we go

Ooo, sing it for 'em now, yeah
Make your own way
When life's a little hard on you
Make your own way
Ain't nobody gonna die for you
Make your own way
When life's a little hard on you
Make your own way
Ain't nobody gonna die for you
Make your own way
You gotta gotta make your own way
Make your own way
Make your own way
You gotta make your own way
Make your own way
Gotta make your own way
Make your own way"
22,Cinderella,Night Songs,"Workin' this job ain't payin' the bills
Sick and tired rat race takin' my thrills
Kickin' down a road, not a dollar in my pocket
Night time falls and I'm ready to rock it

I need a shot of gasoline
I hittin' one sixteen
I get so hot I see steam
Forget the day, cause were gonna scream

Night songs
Howl into the light, singin'
Night songs
Makes the day right
Night songs
Raise your glass, take a bite
Night songs

Ridin' to the east and ridin' to the west
Sleepin' all day, but never get a rest
Lookin' at the time stand still it ain't right
Livin' for the moment, time to get it tight

I need a shot of gasoline
I hittin' one sixteen
I get so hot I see steam
Forget the day, 'cause we're gonna scream

Night songs
Howl into the light, singin'
Night songs
Makes the day right
Night songs
Raise your glass, take a bite
Night songs
Oh, sing it

I need a shot of gasoline
I hittin' one sixteen
I get so hot I see steam
Forget the day, cause were gonna scream

Night songs
Night songs
Night songs
Night songs
Night songs
Night songs
Night songs
Night songs
Night songs
Night songs
Night songs
Night songs
Night songs
Night songs"
23,Cinderella,Nobody's Fool,"I count the falling tears
They fall before my eyes
Seems like a thousand years
Since we broke the ties
I call you on the phone
But never get a rise
So sit there all alone
It's time you realize

I'm not your fool
Nobody's fool
Nobody's fool
I'm no fool
Nobody's fool
Nobody's fool
Never again, no, no

You take your road, i'll take mine
The paths have both been beaten
Searchin' for a change of pace
Love needs to be sweetened
I scream my heart out, just to make a dime
And with that dime i bought your love
But now i've changed my mind

I'm not your fool
Nobody's fool
Nobody's fool
I'm no fool
Nobody's fool
Nobody's fool
Never again, no, no
Nobody's fool
Nobody's fool
I'm no fool
Nobody's fool
Nobody's fool

I count the falling tears
They fall before my eyes
Seems like a thousand years
Since we broke the ties
Ohhh

I'm not your fool
Nobody's fool
Nobody's fool
I'm no fool
Nobody's fool
Nobody's fool
I'm no fool
Nobody's fool
Nobody's fool
I'm no fool
Nobody's fool
Nobody's fool

Nobody's fool
Nobody's fool
Nobody's fool
Nobody's fool

Nobody's fool
Nobody's fool
No, nobody's fool
Nobody's fool
No, nobody's fool
Nobody's fool
Nobody's fool"
24,Cinderella,Nothin' for Nothin',"When you see your face in the mirror
Does it seem the end is gettin' nearer
All your life you spent as a wheeler
Now the hole you dug, it's gettin' deeper

You're talkin' words
But they don't make the rhyme
You'll lose it all
'Cause you can't draw the line

You got nothin'
(Nothin' for nothin')
You're hurtin' over time
(Nothin' for nothin')
And we don't need your time
(Nothin' for nothin')
Pushin', shovin', got no time
(Nothin' for nothin')

When you see the day gettin' darker
You can run to your lies, run to your cover
When you feel the heat from a lover
You hit the highway lookin' for another

You made the grade
You left the hills behind
You take the cake and eat it
You're so blind

You got nothin'
(Nothin' for nothin')
You're hurtin' over time
(Nothin' for nothin')
And we don't need your time
(Nothin' for nothin')
Pushin', shovin', got no time
(Nothin' for nothin')

(Nothin' for nothin')
You're hurtin' over time
(Nothin' for nothin')
And we don't need your time
(Nothin' for nothin')
Pushin', shovin', got no time
(Nothin' for nothin')

(Nothin' for nothin')
You're hurtin' over time
(Nothin' for nothin')
And we don't need your time
(Nothin' for nothin')
Pushin', shovin', got no time
(Nothin' for nothin')

(Nothin' for nothin')
You're hurtin' over time
(Nothin' for nothin')
And we don't need your time
(Nothin' for nothin')
Pushin', shovin', got no time
Hey, you're hurtin' over time
"
25,Cinderella,Once Around the Ride,"See me, feel me, come and touch me
The way I touch you
In the crossfire, live wire
Who said maybe
I said maybe won't do

The sands of time are slipping by
Dust to dust, no second try

You're only goin'
Once around the ride, yea
You're only goin'
Once around the ride

Rock hard, got an ace card
I ain't crazy
Just got nothin' to do
Day breaks, I'll take
Can't wait forever
'Cause my life will be through

The sands of time are slipping by
Dust to dust, no second try

You're only goin'
Once around the ride, yea
You're only goin'
Once around the ride

Dust to dust, no second try
You're only goin'
Once around the ride
Once around the ride
Once around the ride
Once around the ride
Once around the ride
Once around the ride
Once around the ride"
26,Cinderella,One for Rock and Roll,"I was born on the dawn of a new society
And I feel lucky that my eyes could see
People standing up and being
Who they want to be
People made the music
And the music may them free

Now I was just a baby through
The summer of love they say
But it still feels like it was yesterday
And if the road gets rough
I pick up my guitar and play

It's always been right by my side
To help me on my way

[Chorus]
Now I don't need to worry 'bout tomorrow
Ain't anticipating what's to come
And I don't need to worry 'bout
The things I have not done
Long as I got rock and roll
I'm forever young

Now we can't always understand this world
Farther along we'll understand it all
The '70s looked like we all
Were headed for a fall
But those who listened hard enough
Could hear the summer call

Now I was growing up through all of this
My first beer and love and my first kiss
You never learn the things in school
You learn by living and going through
You taught me to be myself
How can I thank you

[Chorus]

[Chorus]

Ain't it truth!"
27,Cinderella,"Push, Push","I'm gettin' hot
I've got to give a shot
She wants it all
And that's a lot

I'm gettin' ready
The love's lookin' steady
It's gettin' sticky
I thought she might miss me
She looked at me and said

I need a little
Push, push
Gonna give a little
Push, push
If ya take a little
Push, push
Then you'll get a little
Push, push

She's lookin' fine
Flashin' like a neon sign
She thinks it's love
I said that comes with time

I'm gettin' ready
The love's lookin' steady
It's gettin' sticky
I thought she might miss me
She looked at me and said

I need a little
Push, push
Come and give a little
Push, push
If ya take a little
Push, push
Then you'll get a little
Push, push
Whoa, yea
Push on

I'm gettin' ready
The love's lookin' steady
It's gettin' sticky
I thought she might miss me
She looked at me and said

I need a little
Push, push
Come and give a little
Push, push
If ya take a little
Push, push
Then you'll get a little
Push, push

Woo, push, push
Mmm, keep pushin' me
Push, push
Push on
Push, push
Ooo, yea, yea
Push, push"
28,Cinderella,Second Wind,"Lightning strikes before my eyes
Makes them burn, makes them blind
I can catch what they throw at me
Heaven's fire sets me free
It's easy come and it's easy go
Don't ya know, yea
When I'm down and I'm feelin' low

My second wind gets me strong
I'm right back where I belong
My second wind I can't go wrong
I take what's mine then I move along

Take my heart take my soul
Take my rock I still roll
T...T...T... take what you like
Knock me down and watch me strike
It's easy come and it's easy go
Don't ya know, yea
When I'm down and I'm feelin' low

My second wind gets me strong
I'm right back where I belong
My second wind I can't go wrong
I take what's mine then I move along

It's easy come and it's easy go
Don't ya know, yea
When I'm down and I'm feelin' low

My second wind gets me strong
I'm right back where I belong
My second wind I can't go wrong
I take what's mine then I move"
29,Cinderella,Shake Me,"Alright, yeah

I met this girl around quarter to ten
We made it once, she said ""make me again""
She wrapped her love around me all night long
In the mornin' we were still goin' strong

Now let me tell ya, it sure feels good
First time I saw that girl I knew it would
Now let me tell ya, it sure felt right
No pullin' teeth, she didn't want to fight, she said

Shake me, all night, she said
Shake me, shake it, don't break it baby
Shake me, all night, she said
All night long
All night long baby

Screamed and scratched and rolled out of the bed
I never really got her out of my head
And now and then she makes those social calls
Gives me a squeeze, gets me kickin' the walls

Now let me tell ya, it still feels tight
And we were shakin' after every bite
I feel her comin' in the middle of the night
Screamin' higher

Shake me, all night, she said
Shake me, shake it, don't break it baby
Shake me, all night, she said
Shake me, oh yeah

All night, keep the fire burnin', 
'Cause were doin' all right
All night, come on and shake it right

Shake me
Shake me
Shake me 
Shake me

Shake me all night, she said
Shake me, shake it, don't break it baby
Shake me, all night, she said
Shake me, oh yeah

Shake me
Shake me, yeah
Shake me (oh come on baby baby)
Shake me
Shake me
Shake me"
30,Cinderella,Sick for the Cure,"There used to be a time when I thought I had the answers
Answers to the questions that nobody knew
Used to be a time when I had some time
But when I had the time, I didn't know what to do

Wasted all those years never gettin? any younger
Times kept a changin? but I still got the hunger
Only trouble is the walls are closing in
Sometimes I want to give it all away

I just wanna be free
Free like the wind
And if the wind fills my sails
Then I'm never comin' back again

Maybe I?ll head down south to New Orleans
Wouldn't have no taxes ?cause I wouldn't have no means
Lookin' for a Genie that could fill my dreams
But dreams become reality and real ain't what it seems to be

I just wanna be free
Free like the wind
And if the wind fills my sails
Then I'm never comin' back again

I just wanna be free
Free like the wind
And if the wind fills my sails
Then I'm never comin' back again

Sick for the cure on this roller coaster ride
It can take you real low and it can get you real high
Just passin? time
But time ain't on our side
Ah, guitar

I just wanna be free
Free like the wind
And if the wind fills my sails
Then I'm never comin' back again

I just wanna be free
Free like the wind
And if the wind fills my sails
Then I'm never comin' back again

I just wanna be free
Free like the wind
And if the wind fills my sails
Then I'm never comin' back again, alright
"
