,author,title,desc,format
19,Sylvia Day,A Dark Kiss of Rapture,"Of all the Fallen, Raze's hungers are some of the darkest and most insatiable. His brazen seductions cost him his wings, leaving him soulless and immortal, the most dangerous of seducers. He has roamed the earth for eons, hunting the rogues of his kind and protecting the humans who provide him with blood and sex. He is content with his life and the transient pleasures that flow through it... until one night and one woman change everything.Kimberly McAdams is smart, beautiful, and wealthy. She can have any man she wants, but the moment she sets eyes on the lethally stunning Raze she knows he's the man she needs. As one searingly erotic night burns into something deeper and far more vital than either of them expected, an adversary from Raze's past sees a chance for revenge. Twisted by hatred, she will take from Raze what was taken from her—the precious gift of love.19,500 word count",0
20,Bella Forrest,A Dawn of Strength,The people of The Shade are no strangers to storms. But the army of black witches racing toward their shores now is a cyclone unlike any the island has weathered before.Either victory or defeat awaits the Novaks at the end of the night...A new dawn is breaking over The Shade.,0
21,Bella Forrest,A Day of Glory,"""Because one can't simply fire a Novak...""Return to The Shade in the EPIC FINAL BOOK of ""Season 4""!",0
22,Debra Dunbar,A Demon Bound,"Samantha Martin is an imp, enjoying an extended vacation from Hel. All she wants to do is drink beer by the pool, play mischievous pranks on the humans, and get her hot neighbor in the sack. It’s a relaxing break from her infernal home, as long as she manages to avoid the angels, who won’t hesitate to execute her on sight.But when her naughty hellhound lands her in trouble with the local werewolf pack, Sam is blackmailed into helping track and catch a killer. The steps she must take to appease the werewolves will put her right in the crosshairs of the angels. And with angels, there is no second chance.",0
23,Penelope King,A Demon Made Me Do It,"Some girls share clothes, a bathroom, or a bedroom. Seventeen-year-old Liora Greyson has to share, too. Only she shares her body--with a demon.Liora just wants to survive her final year of high school unscathed, her dark secret intact. But the walls she’s carefully constructed to keep people away crack wide open once she meets the sexy and mysterious Kieron, and he lights her world on fire. She can’t let him know she transforms into a demon named ""Lucky"" at nightfall—a demon with an entirely separate personality who passes out Torment, Justice, and Revenge like Halloween candy.Turns out Kieron is the one who should be afraid once Lucky discovers his true identity and motivations. Liora wants to love him, but Lucky thinks he’s public enemy number one. And having a demon with a vendetta show up during a romantic date puts a serious crimp in any relationship.Fighting your demons is one thing. Having one that fights back, messes with your guy, and leaves you with nasty hangovers is quite another.Being bad has never been so good...",0
24,Deborah Harkness,A Discovery of Witches,"Fall under the spell of Diana and Matthew in the stunning first volume of the No.1 internationally bestsellling ALL SOULS trilogy.A world of witches, daemons and vampires. A manuscript which holds the secrets of their past and the key to their future. Diana and Matthew - the forbidden love at the heart of it.When historian Diana Bishop opens an alchemical manuscript in the Bodleian Library, it's an unwelcome intrusion of magic into her carefully ordered life. Though Diana is a witch of impeccable lineage, the violent death of her parents while she was still a child convinced her that human fear is more potent than any witchcraft. Now Diana has unwittingly exposed herself to a world she's kept at bay for years; one of powerful witches, creative, destructive daemons and long-lived vampires. Sensing the significance of Diana's discovery, the creatures gather in Oxford, among them the enigmatic Matthew Clairmont, a vampire genticist. Diana is inexplicably drawn to Matthew and, in a shadowy world of half-truths and old enmities, ties herself to him without fully understanding the ancient line they are crossing. As they begin to unlock the secrets of the manuscript and their feelings for each other deepen, so the fragile balance of peace unravels...",0
25,Chris Marie Green,A Drop of Red,"If you run out of vampires to destroy at home, there's always work overseas...Hollywood stuntwoman-turned-vampire-hunter Dawn Madison, along with her comrades, managed to wipe out the Los Angeles Vampire Underground—and uncovered not only her own dark family heritage but also a terrible truth about the man she loves. Now she's determined to find the next vampire lair, hoping it will help her to make more sense out of her life.When a new Underground is found in England, Dawn and a vampire—fighting team are dispatched to carry the fight to the enemy in London. Dawn knows by now how deceiving appearances can be—and she is about to find out that it's not only the beautiful people of Hollywood who are willing to bargain with evil...",0
26,Rachel  Morgan,A Faerie's Curse,"A witch’s curse. A world-ending prophecy. A daring rescue mission. Don’t miss the heart-pounding finale to Calla’s story!On the run from the Guild of Guardians, Calla Larkenwood and her team of fellow outlaws plan a daring rescue operation into the Seelie Court itself. As if that isn’t enough to keep them busy, the power-hungry Princess Angelica has begun preparations for a horrifying prophesied spell that will forever change both the magic and non-magic realms.When Calla is blindsided by an unspeakable tragedy before the rescue can be carried out, she struggles to remain focused on her mission. She believes she’s reached her lowest point—until a witch reveals the final blow: she has cursed Calla’s magic. With time running out, can Calla save the one she loves and stop the prophecy from being carried out before the curse claims her life?",0
27,Rachel  Morgan,A Faerie's Secret,"Calla Larkenwood wants nothing more than to be a guardian, but her overprotective mother has never allowed it. When circumstances change and Calla finally gets to join a Guild, she discovers guardian trainee life isn’t all she hoped it would be. Her classmates are distant, her mentor hates her, and keeping her Griffin Ability a secret is harder than she thought. Then an initiation game goes wrong, landing Calla with a magical ability she can’t control. She needs help—and the only way she can get it is by bargaining with the guy who just discovered her biggest secret. Join beloved characters and new heroes as the bestselling Creepy Hollow series continues.",0
28,Bella Forrest,A Fall of Secrets,"""A timeless barrier has been broken. Things will never be the same for the human world again...""A new dawn has risen over The Shade. No longer one of weakness, but of strength. Desperate, the black witches are on a blood hunt more pernicious than ever before.Now it's no longer the island's inhabitants who are in jeopardy. It's the world around them.",0
29,Elizabeth   Hunter,A Fall of Water,"“No secret stays hidden forever.”Still grieving from their loss in the far East, Giovanni Vecchio and Beatrice De Novo discover that for them, all roads really do lead to Rome. But nothing is quite as it seems in the Eternal City. Joined by Carwyn and Tenzin, unexpected clashes greet them almost immediately, and rivalries churn beneath the glittering facade of the old Roman court. They quickly realize that allies might be enemies, and ancient rivals could hold the key to a deadly secret.Giovanni and Beatrice will be forced to call on old alliances, ancient power, and fierce cunning to survive for the eternity they both desire. Sometimes, finding the end means going back to the beginning. Fire, Earth, Wind, and Water finally meet with devastating results in the conclusion of the Elemental Mysteries.",0
30,Peter S. Beagle,A Fine and Private Place,"This classic tale from the author of The Last Unicorn is a journey between the realms of the living and the dead, and a testament to the eternal power of love.Michael Morgan was not ready to die, but his funeral was carried out just the same. Trapped in the dark limbo between life and death as a ghost, he searches for an escape. Instead, he discovers the beautiful Laura...and a love stronger than the boundaries of the grave and the spirit world.",0
31,Bella Forrest,A Flight of Souls,  Expect the unexpected...   The PENULTIMATE BOOK in Ben and River's story as we move toward the enthralling finale in Book 24.,0
32,Bella Forrest,A Fork of Paths,"""That vial of potion may have given me life... But what kind of life is this?""As we gear up for Ben and River's explosive finale in Book 24, heart-pounding adventure, challenged love, and thrilling discoveries await you in A Fork of Paths...",0
33,Bella Forrest,A Game of Risk, With TRUTH comes risk.With LOVE comes sacrifice...Are you ready to return to The Shade?,0
34,Bella Forrest,A Gate of Night,"Welcome back to The Shade... Derek and Sofia are finally enjoying a well-deserved break. Staying at a resort with good food, sun and sea, Sofia is thrilled to witness Derek’s re-introduction to the human world. They would almost be mistaken for a normal young couple, if it were not for the red-eyed monster lurking in the shadows and watching their every move, waiting for his signal to pounce…",0
35,Meredith Ann Pierce,A Gathering of Gargoyles,"In this spellbinding second book in the classic Darkangel Trilogy, Aeriel risks everything for the love of Irrylath. Aeriel's love has broken the curse on the darkangel Irrylath, making him human again and freeing him from the control of his mother, the dreaded White Witch. But the Witch is far from defeated. Her wicked plans require all seven of her vampyre sons, and she will not give one up so easily. There is but a single hope for the Witch's defeat — solving an ancient, mysterious riddle. So Aeriel sets off to solve the riddle, sailing across a sea of dust and straight into the worst of the Witch's terrors. But if Aeriel is to save Irrylath and her world, she will have to overcome his bloodthirsty darkangel brothers — and ultimately confront his terrifying mother face-to-face.",0
36,Katie MacAlister,A Girl's Guide to Vampires,"A Girl’s Guide to Vampires is the first book in New York Times and USA Today bestselling author Katie MacAlister’s wonderfully winning Dark Ones series—a perfect blend of sexy and fun that every devoted fan of Lynsay Sand’s popular Argeneau vampire books will want to sink their teeth into. The story of a desperate ghost hunter who stumbles across a dashing bloodsucker who’s looking for eternal love, A Girl’s Guide to Vampires is funny, steamy, sensuous, and surprising—everything anyone could want from a paranormal romance.",0
37,Victoria Laurie,A Glimpse of Evil,"This title has been removed from sale by Penguin Group, USA.",0
38,Bella Forrest,A Hero of Realms,"After the oracle's prediction of Ben's fate, what options does the Novak have left?Will he attempt to fight his destiny? Can such a battle even be won?Jeramiah still lurks in The Shade like a shadow. Why is he still on the island? Why did he even come in the first place?",0
39,Elizabeth   Hunter,A Hidden Fire,"Alt cover edition for ASIN B005VTVE0U""No secret stays hidden forever.""A phone call from an old friend sets Dr. Giovanni Vecchio back on the path of a mystery he'd abandoned years before. He never expected a young librarian could hold the key to the search, nor could he have expected the danger she would attract. Now he and Beatrice De Novo will follow a twisted maze that leads from the archives of a university library, through the fires of Renaissance Florence, and toward a confrontation they never could have predicted.A Hidden Fire is a paranormal mystery/romance for adult readers. It is the first book in the Elemental Mysteries Series.",0
40,Janet Chapman,A Highlander Christmas,"Camry MacKeage has absolutely no intention of telling her parents that she left her job as a NASA physicist for the small-town life of a dog-sitter—which is why she's spending the holidays alone in coastal Maine with her furry friends, Tigger and Max.Unfortunately, her irresistibly handsome rival, scientist Luke Pascal, accidentally spilled the beans. Now he's on a mission from her mother to tempt Camry home for the family's annual winter solstice celebration. But Luke is hiding his own secret, and he'll need a little bit of magic to earn Camry's trust...and a whole lot of mistletoe to seduce his way into her heart.",0
41,Melissa Mayhue,A Highlander of Her Own,"TEXAS, PRESENT DAY. Ellie Denton's world has spiraled out of control. A strange new birthmark, animals talking to her, and her mother's ex-husband laying claim to the family ranch have her thinking life can't get more complicated. But Ellie doesn't know the birthmark's connection to her Faerie ancestors. Complicated takes on a whole new meaning with her innocent wish to find her true love. SCOTLAND, 1304. Caden MacAlister has more trouble than he can handle. With his brother held for ransom and the laird missing, the last thing he needs is another problem. But the Fae have other plans. A mysterious woman shows up in his stables, sent by Faerie Magic to find her true love. Fighting his attraction, Caden insists she's meant for one of his brothers. With his history, he has no desire for a woman in his life -- especially a woman sent by the Fae.  Only the magic of the Fae can determine whether Ellie will find a Highlander of her own...",0
42,Kresley Cole,A Hunger Like No Other,"In New York Times and USA TODAY bestselling author Kresley Cole’s sizzling series, a fierce werewolf and a bewitching vampire become unlikely soul mates whose passion will test the boundaries of life and death.After enduring years of torture from the vampire horde, Lachlain MacRieve, leader of the Lykae Clan, is enraged to find the predestined mate he’s waited millennia for is a vampire. Or partly one. Emmaline Troy is a small, ethereal half Valkyrie/half vampire, who somehow begins to soothe the fury burning within him.Sheltered Emmaline finally sets out to uncover the truth about her deceased parents—until a powerful Lykae claims her as his mate and forces her back to his ancestral Scottish castle. There, her fear of the Lykae—and their notorious dark desires—ebbs as he begins a slow, wicked seduction to sate her own dark cravings.Yet when an ancient evil from her past resurfaces, will their desire deepen into a love that can bring a proud warrior to his knees and turn a gentle beauty into the fighter she was born to be?",0
43,Jayde Scott,A Job From Hell,"The moment Amber starts her summer job in Scotland and sets eyes upon Aidan, her fate is sealed. Summoned by an ancient bond, she can never love another. Lost in the woods one night Amber enters Aidan's deadly world when she unknowingly participates in a paranormal race and promptly wins the first prize...a prize worth killing for.In a world of forbidden love, ancient enemies, legends and rituals, nothing is as it seems and no one can be trusted. Life will never be the same again, unless she enters the Otherworld. But to do so, Amber must die...Books of the Ancient Legends Series:A Job From HellBeelzebub GirlVoodoo KissDead And BeyondForever And BeyondShadow BloodThe books can be read as stand-alone stories, but it is advisable to read them in order to get the most enjoyment from the series.",0
44,Bella Forrest,A King of Shadow," SECRETS LURK IN THE DARKEST CORNERS...The longer Hazel and her fellow Shadians stay in Nevertide, the more of a mystery the hidden land becomes to them - and when events within Hellswan take a more sinister, disturbing turn, it's becoming harder to know who to trust.All Hazel does know is that danger is closing in, just like the shadows that lurk in every corner of the castle - and within the heart of her new king...
Return to the lives of the Novaks. Pre-order now!
*Beware of spoilers in the reviews below that are without spoiler alerts*",0
45,Laurell K. Hamilton,A Kiss of Shadows,"My name is Meredith 'Merry' Gentry, but of course it's not my real name. I dare not even whisper my true name after dark for fear that one hushed word will travel over the night winds to the soft ear of my aunt, the Queen of Air and Darkness. She wants me dead. I don't even know why...I fled the high court of Faerie three years ago and have been in hiding ever since. As Merry Gentry, I am a private investigator for the Grey Detective Agency: Supernatural Problems, Magical Solutions. My magical skills, scorned at the courts of Faerie, are valued in the human world. Even by human standards, my magic isn't flashy, which is fine by me. Flashy attracts attention and I can't afford that.Rumour has it that I am dead. Not quite. I am Princess Meredith NicEssus. To speak that name after dark is to call down a knock upon your door from a hand that can kill you with a touch. I have been careful, but not careful enough. The shadows have found me, and they are going to take me back home, one way or another.So the running is over. But the fighting has just begun...Rich, sensual, brimming with dangerous magic, A Kiss of Shadows is a dazzling tour-de-force where folklore, fantasy and erotically charged adventure collide.",0
46,Angeline Fortin,A Laird for All Time,"After ten long years of education and residency, Dr. Emmy MacKenzie feels the time is long overdue for a vacation. A little “me” time. A little alone time. But when traveling the British Isles, a twist of fate at the gates of the ancient castle of Duart hurls Emmy more a hundred years into the past and into the arms of a magnificent highlander who thinks she is his long-lost wife, Heather MacLean!The ten years since his new bride abandoned him on his wedding day had brought Connor MacLean, earl Strathclyde, nothing but misery and bitterness but that is nothing compared to the anger he feels when she shows up at his front gates on the 10th anniversary of that day. Determined to punish her for the humiliations she dealt him, he is shocked when his wife claims mistaken identity and insists that she is not his wife at all! Endeavoring to cling to his anger, Connor finds he cannot deny the new attraction he feels for his mysterious wife and soon he is wanting nothing more than to take her in his arms and make her his.With no choice but to play the part of the long lost Heather MacLean, Emmy cannot help but wonder how any woman could ever leave Connor MacLean, a man unlike any she had ever known. A man who thrills and challenges her. A man to love forever. Questions of destiny plague Emmy making her question her very life as she wavers between the desire to return to her own time and the hope for a life with her earl. She begins to question what she really wants out of life. And who can give it to her.But Emmy’s isn’t the only secret lurking in Duart Castle. Painful secrets will be revealed. Not only hers but that of another. When the truth of Heather MacLean’s disappearance comes to light more than Connor’s life might be destroyed. Choices will have to be made. Forgiveness begged. Second chances taken not just for the people of Duart, but for Emmy herself.But will she risk it all to have her laird for all time?With a special sneak peek into Taken: A Laird for All Time Novel",0
47,Laurell K. Hamilton|Laural Merlington,A Lick of Frost,"Commanded by her aunt, the dark Queen Andais, to conceive a child as heir to the throne, Meredith Gentry, a half-mortal, half-faerie princess, returns to Los Angeles, only to find herself and her lovers trapped between the dark and light faerie courts and human law.",0
48,Pamela Palmer,A Love Untamed,"The newest member of the elite Feral Warriors brotherhood, Fox is eager to prove himself on the frontlines of battle against the Daemons. When paired with the legendary Ilina warrior, Melisande, he expects the fierce beauty to quickly fall under the spell of his quite considerable charm. Instead, he finds himself spellbound by a woman who's his match in every way.Beneath Melisande's brittle exterior lies centuries of pain and a violent hatred of all shape-shifters—a hatred that slowly crumbles after they're caught in a deadly and cunning Mage trap and she glimpses a surprising depth in her far-too-seductive partner. Their survival demands unconditional trust—and their salvation surrender to a wild, untamed love.",0
49,Gena Showalter,A Mad Zombie Party,"The battle rages on.Ali Bell and Cole Holland's crew of zombie slayers thought they'd won the war against Anima Industries, the evil company responsible for capturing and experimenting on zombies in an effort to discover the secret to immortality. In the last epic clash, the slayers lost many of their crew and closest friends. But Frosty, the ice man himself, has not recovered from one casualty in particular—the love of his life, Kat Parker.On the path to self-annihilation, Frosty receives a message from beyond—Kat's spirit returns, insisting he partner with rogue slayer Camilla Marks. Frosty will do anything for Kat. Except that. Camilla is the one who betrayed them all, leading to Kat's death.But when Anima rises from the grave to become a force the slayers may not have the strength to overcome, Frosty, Camilla and all the slayers will have to work together to survive. And one broken slayer will learn that sometimes, the line between hate and attraction is blurred...and the road to redemption isn't through revenge, but in letting go of the past and grabbing hold of the futur",0
50,Joey W. Hill,A Mermaid's Kiss,"The angelic Jonah has been battling the Dark Ones for centuries. But his noble spirit has begun to tire with the weight of war - allowing a Dark One to strike a blow that severs his wings and knocks him into the sea.Anna is a Daughter of Arianne - a direct descendant of the mermaid of legend. Anna's longing for love compels her to risk her very life to protect and hide the fallen Jonah. And the longer Jonah delays his return to the heavens, the more Anna's secret passions are tempted.But as she falls more in love with him, Anna wonders if she's destined to lose her heart and her dreams to save Jonah's soul?",0
51,Joey W. Hill,A Mermaid's Ransom," A story of two lovers who could not be more different.Daughter to an angel and a mermaid, Alexis has grown up in peaceful waters. So when her nightmares begin, the mer-angel has little idea what to make of them. In her dream is the loneliest man Alexis has ever met--and she's strangely drawn to him. Until the night her dream comes true...Born of a vampire and a Dark One, Dante only knows brutality. And although he's the leader of the underworld, he longs to escape it. How better than to hold for ransom the Prime Legion Commander's daughter? But there's one thing Dante never planned on--the way Alexis steals his heart.",0
52,Debora Geary,A Modern Witch,"Can you live 28 years without discovering you're a witch? — Lauren is downtown Chicago's youngest elite realtor. She's also a witch. She must be - the fetching spell for Witches' Chat isn't supposed to make mistakes. So says the woman who coded the spell, at least. — The tall, dark, and handsome guy sent to assess her is a witch too (and no, that doesn't end the way you might think). What he finds in Lauren will change lives, mess with a perfectly good career, and require lots of ice cream therapy.",0
53,Suzanne Young,A Need So Beautiful,"We all want to be remembered. Charlotte's destiny is to be forgotten. Charlotte's best friend thinks Charlotte might be psychic. Her boyfriend thinks she's cheating on him. But Charlotte knows what's really wrong: She is one of the Forgotten, a kind of angel on earth who feels the Need - a powerful, uncontrollable draw to help someone, usually a stranger. But Charlotte never wanted this responsibility. What she wants is to help her best friend, whose life is spiraling out of control. She wants to lie in her boyfriend's arms forever. But as the Need grows stronger, it begins to take a dangerous toll on Charlotte. And who she was, is, and will become - her mark on this earth, her very existence - is in jeopardy of disappearing completely. Charlotte will be forced to choose: Should she embrace her fate as a Forgotten, a fate that promises to rip her from the lives of those she loves forever? Or is she willing to fight against her destiny - no matter how dark the consequences?",0
54,Carrie Ann Ryan,A Night Away,"Kade Jamenson has been mated to Melanie for almost two years. They’ve been through mating circles, battles, loss, misunderstandings, and finally, the birth of their son, Finn. The world is in turmoil around them as the Redwoods engage in war with the Centrals. But for Kade and Melanie, the turmoil is also happening at home. The responsibility of a restless baby and their Pack has taken a toll and they need a break.	Not from each other. But from their Pack. Just for a night.	Kade takes Mel away for a romantic getaway and leaves Uncle Maddox alone with baby Finn. The Omega of the Redwood Pack may be adept at emotions but the idea of a baby may be beyond his immense capabilities. Author’s Note: This is a novella set between books 3 and 4 to give you a taste of Mel and Kade. It is best that you have already immersed yourselves in the Redwood Pack world, however even new readers will enjoy a glimpse of one of the Redwood’s favorite couples.",0
